RK,PLAYER,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
33,Harris English,298.4,58.5,33,67,1.76,47.9
34,Carlos Ortiz,298.4,59.8,33,66.8,1.765,55.2
35,Paul Casey,297.8,64.2,35,72.4,1.772,38.5
36,Russell Henley,297.1,64.4,36,67.1,1.756,45.2
37,Robert Streb,297.1,59.5,36,69.1,1.75,52.5
38,Lucas Glover,296.9,63.8,38,70.5,1.831,49.1
39,Martin Flores,296.8,56.8,39,68.3,1.798,50.4
40,Rickie Fowler,296.8,62.1,39,61.5,1.734,55.8
41,Scott Piercy,296.7,59.3,41,66.7,1.759,37.5
42,Will Wilcox,296.6,69,42,72.5,1.769,63.1
43,Henrik Stenson,296.4,69.9,43,68.9,1.785,49.4
44,Shawn Stefani,296.3,62.1,44,68.8,1.745,45.7
45,Morgan Hoffmann,296.1,54.8,45,61.1,1.729,48.7
46,Matt Jones,296,59.7,46,63.3,1.731,54
47,Sean O'Hair,295.3,60.7,47,64.3,1.744,51.8
48,Andres Romero,295.3,52.7,47,61.7,1.764,45.9
49,Alex Prugh,295.2,62,49,70.1,1.792,41.5
50,Hunter Mahan,295.1,58.9,50,61.3,1.777,54.2
51,James Hahn,295.1,59.9,50,66.1,1.761,55.5
52,Derek Ernst,295.1,64.3,50,66.5,1.82,40.6
53,Billy Horschel,295,63.8,53,65.2,1.783,47.1
54,Jamie Donaldson,294.9,60.1,54,63.8,1.785,59
55,Marc Leishman,294.8,55,55,64.7,1.771,49.6
56,Davis Love III,294.7,64.9,56,67.4,1.814,37.3
57,Andres Gonzales,294.5,58.1,57,66.7,1.758,46.8
58,Hideki Matsuyama,294.5,65.3,57,65.6,1.74,48.8
59,Max Homa,294.2,56.5,59,63,1.779,38.4
60,Aaron Baddeley,294.1,50.3,60,62.5,1.744,59.1
61,Nick Watney,294,61.1,61,67.3,1.778,50.4
62,Jim Herman,293.8,67.1,62,73.2,1.81,51.8
63,Greg Owen,293.8,59.6,62,69.3,1.805,46.8
64,Geoff Ogilvy,293.7,59.6,64,66.6,1.826,41.3
65,Stewart Cink,293.6,57.4,65,72.9,1.799,53.3
66,Roger Sloan,293.6,59.4,65,63.1,1.79,46
67,Kevin Chappell,293.5,63.9,67,66,1.759,45.9
68,Sam Saunders,293.2,64,68,65.2,1.803,56.6
69,Patrick Reed,292.9,54.8,69,61.3,1.732,52.2
70,Seung-yul Noh,292.7,54.9,70,65.9,1.772,51.5
71,Retief Goosen,292.6,56.6,71,62.2,1.785,44.5
72,J.J. Henry,292.3,60.3,72,69.9,1.812,40.2
73,Nick Taylor,292.3,56.1,72,64.4,1.755,50
74,Camilo Villegas,292.2,54.1,74,63.1,1.782,45
75,Tom Hoge,292.2,58.8,74,66,1.75,42.9
76,Boo Weekley,292,63.3,76,67.7,1.785,46.6
77,Byron Smith,291.9,58.1,77,68.9,1.806,45
78,Scott Stallings,291.8,57.7,78,65,1.779,48.4
79,Jordan Spieth,291.8,62.9,78,64.9,1.699,58.1
80,Ernie Els,291.7,56.8,80,64.5,1.816,51.8
81,Carl Pettersson,291.6,59.1,81,63,1.76,50.3
82,Johnson Wagner,290.7,62.1,82,69,1.781,44.4
83,Chesson Hadley,290.7,56.9,82,63.6,1.742,49.4
84,Bill Haas,290.7,63.3,82,68.8,1.803,52.5
85,Vijay Singh,290.6,60.1,85,66.2,1.789,51.2
86,Padraig Harrington,290.5,51.7,86,61,1.801,59.8
87,Jason Gore,290.4,66.7,87,67.5,1.767,50.5
88,Scott Pinckney,290.3,60.9,88,67.6,1.77,49.2
89,John Senden,290.2,66.6,89,67.3,1.773,50
90,Cameron Percy,290,60.3,90,67.8,1.772,48.9
91,Rory Sabbatini,290,60.3,90,67.8,1.774,55.5
92,Sang-Moon Bae,289.8,60,92,62.9,1.76,52
93,David Lingmerth,289.5,65.5,93,64.9,1.751,53.2
94,Oscar Fraustro,289.5,61.8,93,63.2,1.765,43.5
95,Bo Van Pelt,289.5,60.7,93,66.9,1.79,42.3
96,Kevin Streelman,289.5,68.6,93,69,1.782,47.1
97,Webb Simpson,289.4,67.9,97,67.8,1.791,59.2
