RK,PLAYER,AGE,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
46,Martin Laird,33,293.4,60.8,46,63.6,1.801,48.3
47,D.J. Trahan,35,293.4,63.5,46,67.9,1.799,33.3
48,James Hahn,34,293.3,58.6,48,64.7,1.749,46.4
49,Tiger Woods,40,293.2,62.5,49,67.6,1.737,60.8
50,Andres Romero,35,293.1,57.4,50,61.3,1.76,56.5
51,Rory Sabbatini,40,293.1,59.7,50,67.8,1.768,47.9
52,Kevin Chappell,29,292.9,61.5,52,66.1,1.798,61.7
53,Greg Owen,44,292.8,59.8,53,65.7,1.823,50.4
54,Erik Compton,36,292.7,56.9,54,65.1,1.788,50
55,Jeff Overton,33,292.4,57.8,55,64.9,1.755,46
56,Matt Jones,36,292.3,64.7,56,66,1.771,55.7
57,Brandt Jobe,50,292.1,64.8,57,66,1.801,46.6
58,Patrick Reed,25,292,56.1,58,63.8,1.76,59.7
59,Camilo Villegas,34,291.8,58.6,59,66.7,1.764,54.2
60,Nicholas Thompson,33,291.6,64.7,60,67.8,1.798,52
61,Derek Ernst,26,291.5,60.5,61,63.9,1.811,36.8
62,Ryo Ishikawa,24,291.3,55.5,62,66,1.816,47.9
63,Nick Watney,35,291.2,62.4,63,68.5,1.808,44.1
64,Sergio Garcia,36,291,61.3,64,67.5,1.75,50
,Tommy Gainey,40,291,56.3,64,61,1.78,51.8
66,Henrik Stenson,40,290.9,70.1,66,72,1.784,46.2
67,Boo Weekley,42,290.9,66.4,66,69.4,1.805,49.7
68,Brendan Steele,33,290.7,61.6,68,66,1.798,53.2
69,Lee Westwood,43,290.3,62.6,69,65.2,1.816,55
70,Carl Pettersson,38,290.2,59.4,70,62.2,1.766,46.3
71,Andrew Svoboda,36,290.1,60.9,71,65.9,1.791,29.5
72,Pat Perez,40,290.1,61.4,71,66.9,1.773,44.1
73,Stewart Cink,43,290,57.2,73,67.8,1.809,53.4
74,Hunter Mahan,34,290,66.6,73,67.6,1.785,48.5
75,Vaughn Taylor,40,289.8,65.3,75,63.5,1.768,50.7
76,Kevin Stadler,36,289.8,64.2,75,68.9,1.762,50
77,Ernie Els,46,289.6,57.7,77,61.7,1.769,49.4
78,Fabian Gomez,37,289.5,61.9,78,64.1,1.768,48.2
79,Scott Brown,33,289.5,62.3,78,64.1,1.787,38.9
80,Jordan Spieth,22,289.4,67.8,80,66.9,1.734,51.6
81,Ricky Barnes,35,289.4,60.3,80,70.5,1.813,44.4
82,John Senden,45,289.3,60.6,82,66,1.812,43.8
83,Chris Kirk,31,289,59.6,83,65.9,1.733,49.2
84,Russell Henley,27,289,64.7,83,64.2,1.762,49.6
85,Chad Campbell,41,288.9,60.7,85,67,1.803,48.6
86,Aaron Baddeley,35,288.5,50.7,86,58,1.727,51.9
87,Scott Gardiner,40,288.4,58.5,87,64.1,1.796,47.5
88,Martin Kaymer,31,288.4,61.4,87,64.8,1.824,46
89,Padraig Harrington,44,288.3,58.4,89,60.9,1.803,52.1
90,Bill Haas,34,288.2,62.3,90,67.8,1.777,50.8
91,Vijay Singh,53,288.1,62.3,91,69.1,1.888,48.6
92,Matt Every,32,288.1,58.9,91,65.5,1.754,52.7
93,Phil Mickelson,45,287.9,57.3,93,66.7,1.718,55.6
94,Bud Cauley,26,287.5,59.2,94,63.8,1.786,47.6
95,Brian Harman,29,287.5,60.6,94,62.6,1.767,45.1
96,Kevin Streelman,37,287.5,67.3,94,66.4,1.789,48.3
97,Freddie Jacobson,41,287.3,56.3,97,61.7,1.76,51
98,Cameron Tringale,28,287.2,62.9,98,67,1.782,61.5
99,Robert Karlsson,46,287.2,60.2,98,63.1,1.819,55.6
100,James Driscoll,38,287.1,53.9,100,63.8,1.746,54.3
101,Y.E. Yang,44,286.7,62.8,101,62.7,1.79,44.1
102,Marc Leishman,32,286.6,58.8,102,65.1,1.789,46.2
103,Rickie Fowler,27,286.4,62.3,103,63.6,1.752,60.3
104,Tom Gillis,47,286.3,64.8,104,60.7,1.803,62.6
105,Brendon de Jonge,35,286.3,66.3,104,68.8,1.773,53.9
106,George McNeill,40,286,65.6,106,64.3,1.8,50
107,Bo Van Pelt,41,285.9,63.8,107,65.6,1.785,33.9
108,Jason Dufner,39,285.9,64.8,107,67.5,1.781,51.5
109,David Lingmerth,28,285.8,64.9,109,63.2,1.773,52.6
110,Daniel Summerhays,32,285.7,62.1,110,64.5,1.757,44.7
111,Webb Simpson,30,285.4,63.3,111,66.7,1.759,55.6
112,Sang-Moon Bae,29,285.3,58.4,112,63.7,1.742,49.6
113,Michael Bradley,49,285.3,55.5,112,66.1,1.83,42.5
114,Geoff Ogilvy,38,285.1,60.9,114,62.2,1.826,44.3
115,Bob Estes,50,285,63.1,115,64.9,1.768,59.8
116,Robert Allenby,44,284.9,57.9,116,62.4,1.804,49.5
117,Matt Kuchar,37,284.9,58.9,116,65.8,1.75,64.9
118,Will Claxton,34,284.9,62.8,116,65.7,1.827,36
119,J.J. Henry,41,284.7,64.9,119,68,1.814,43.4
120,Stuart Appleby,45,284.7,62.5,119,65.2,1.788,61.7
121,Alistair Presnell,37,284.6,58,121,62.3,1.801,54.7
122,John Merrick,34,284.3,60.5,122,66.5,1.776,44.3
123,Jonas Blixt,32,283.7,56.5,123,60.9,1.779,54.2
124,Trevor Immelman,36,283.6,61.2,124,66.5,1.838,47.9
125,Steve Stricker,49,283.6,70.7,124,71.2,1.731,54.7
126,Tim Herron,46,283.6,52.2,124,59.8,1.783,51.3
127,Luke Guthrie,26,283.5,61.2,127,63.6,1.783,45.9
128,Chez Reavie,34,282.8,70.3,128,66.7,1.779,49.6
129,Rod Pampling,46,282.6,62.4,129,64.6,1.797,52.5
130,Ryan Moore,33,282.3,68.4,130,64.3,1.788,50.9
131,Roberto Castro,30,282.3,67.4,130,67.3,1.774,54
132,Charlie Wi,44,282.1,63,132,60.6,1.733,55
133,John Huh,26,282,68.5,133,66.6,1.811,52.3
134,Brian Stuard,33,281.8,66,134,65.8,1.791,50
135,William McGirt,36,281.8,62.3,134,65.3,1.776,56.4
136,Ian Poulter,40,281.7,62.4,136,63.5,1.785,57.1
137,Brandt Snedeker,35,281.3,62.6,137,65.7,1.734,60.5
138,D.A. Points,39,281.1,63.5,138,62.8,1.775,47.1
139,Ben Crane,40,281,60.9,139,64,1.789,63.1
140,D.H. Lee,29,280.9,66.2,140,66,1.766,47.2
141,Stephen Ames,52,280.7,58.5,141,61.1,1.764,53
142,David Mathis,42,280.6,62.4,142,63.6,1.801,43.6
143,Casey Wittenberg,31,280.5,54.6,143,62.1,1.798,63.3
144,Ted Potter Jr.,32,280.3,68,144,64.5,1.782,43
145,Doug LaBelle II,41,280.1,67.4,145,64.4,1.751,56.1
146,Justin Hicks,41,280,69.6,146,68.6,1.793,38.8
147,David Hearn,36,279.7,62.1,147,64.7,1.724,40.6
148,Michael Thompson,31,279.4,61.4,148,61.8,1.801,60.9
149,Justin Bolli,40,279.1,61.4,149,61.1,1.783,46.9
150,Richard H. Lee,29,279.1,66.9,149,66.5,1.783,55.5
151,Ben Kohles,26,279,67.8,151,65.3,1.802,42.9
152,Scott Langley,27,278.9,62.5,152,64,1.791,46.5
153,Zach Johnson,40,278.8,69.7,153,68.1,1.783,44.4
154,Brian Davis,41,278.8,68.6,153,62.1,1.739,55.4
155,Johnson Wagner,36,278.6,58.7,155,64.4,1.837,45.3
156,K.J. Choi,46,278.3,66,156,65.9,1.791,67.2
157,Luke Donald,38,278.1,62.9,157,62.2,1.747,55.8
158,Mark Wilson,41,278,70.7,158,66.2,1.818,50.6
159,David Lynn,42,277.9,59.3,159,62.5,1.778,56.9
160,Jeff Maggert,52,277.6,68.8,160,66.6,1.791,48.3
161,Graeme McDowell,36,277.5,68.5,161,62.7,1.801,52.9
162,David Toms,49,277.4,66.5,162,63.6,1.772,56.4
163,Aaron Watkins,33,277.1,63,163,62.2,1.769,47.8
164,Chris Stroud,34,277,62.4,164,64.3,1.761,51.6
165,Greg Chalmers,42,276.8,62.8,165,61.6,1.731,58.9
166,Jason Bohn,43,276.3,65.7,166,64.4,1.738,56.9
167,Justin Leonard,43,276.3,64.4,166,63.1,1.735,50.4
168,Lee Williams,34,275.6,59.8,168,61.7,1.803,63.6
169,Jim Furyk,46,275.3,70.5,169,68.3,1.767,55.4
170,Darron Stiles,41,275.1,67.6,170,62.2,1.791,59
171,Ken Duke,47,275.1,69.3,170,63.1,1.773,43.7
172,Brian Gay,44,275.1,64.8,170,56.7,1.742,59.1
173,Ben Curtis,39,274.9,60.5,173,63.8,1.818,42
174,Dicky Pride,46,274.8,65.2,174,64.4,1.788,50.4
175,Tim Clark,40,273.9,70.3,175,62,1.789,52
176,Bryce Molder,37,273.8,65.9,176,63.7,1.731,54.8
177,Jerry Kelly,49,273.2,71.8,177,65.4,1.773,52.7
178,Jin Park,36,273.2,68.8,177,63.4,1.797,59
179,Colt Knost,30,271.7,66.5,179,61.7,1.777,53.5
180,Mike Weir,46,270.5,55.1,180,56.9,1.746,58.3
