RK,PLAYER,AGE,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
79,John Senden,45.00,291,65.9,79,68.6,1.769,48.8
80,Justin Rose,35.00,290.9,65.8,80,70.3,1.78,62.8
81,Trevor Immelman,36.00,290.9,59.7,80,63.5,1.818,50
82,Mathew Goggin,41.00,290.8,57.9,82,65.2,1.797,53.4
83,Roberto Castro,30.00,290.6,65.4,83,65.4,1.794,55
84,Bill Lunde,40.00,290.5,59.1,84,64.1,1.783,57.4
85,Will Claxton,34.00,290.4,65.4,85,66.3,1.779,42.3
86,Cameron Tringale,28.00,290.4,64.4,85,66.6,1.807,44.1
87,Camilo Villegas,34.00,290.3,62,87,69.6,1.785,44.1
88,Brian Harman,29.00,290.3,65.4,87,63.9,1.754,50
89,Billy Horschel,29.00,290.2,66.6,89,64.1,1.786,46.2
90,Chad Campbell,41.00,290.1,60.2,90,67.1,1.798,44.8
91,Geoff Ogilvy,38.00,290.1,62,90,63.7,1.784,55.3
92,Ryo Ishikawa,24.00,290,53.3,92,55,1.804,52.4
93,Kyle Reifers,32.00,290,61.7,92,64.3,1.804,51.6
94,J.J. Killeen,34.00,289.9,56.1,94,57.8,1.787,53.6
95,Sang-Moon Bae,29.00,289.8,58.1,95,59.8,1.749,45.3
96,Henrik Stenson,40.00,289.5,64.1,96,60.2,1.805,54.4
97,Jonathan Byrd,38.00,289.5,57.9,96,63.6,1.784,52.9
98,Miguel Angel Carballo,37.00,289.5,57.9,96,61,1.806,45.3
99,Marc Leishman,32.00,289.4,55.2,99,62.8,1.804,48.9
100,Tim Herron,46.00,289.4,59.9,99,67.4,1.799,51.9
101,Daniel Summerhays,32.00,289.3,61.9,101,64.3,1.783,45.7
102,Derek Lamely,35.00,289.1,52.1,102,58.4,1.768,45.4
103,Tom Gillis,47.00,289,66.1,103,63.9,1.754,53.7
104,Roland Thatcher,39.00,288.9,62.2,104,62.7,1.794,32.4
105,Stewart Cink,43.00,288.8,53.4,105,64.3,1.81,44.9
106,Brendon de Jonge,35.00,288.8,63.4,105,66.8,1.764,48.5
107,Rod Pampling,46.00,288.8,62.7,105,61.8,1.801,49
108,George McNeill,40.00,288.8,61.1,105,60.1,1.79,47.6
109,Brendan Steele,33.00,288.8,63.4,105,65.3,1.836,42.7
110,Brandt Snedeker,35.00,288.7,60.5,110,63.7,1.725,57.9
111,Webb Simpson,30.00,288.6,61.5,111,67.5,1.735,51.2
112,Blake Adams,40.00,288.4,65.8,112,63.4,1.781,46.4
113,John Huh,26.00,288.3,68.7,113,66.4,1.769,51
114,Matt Bettencourt,41.00,288.2,52.3,114,55.8,1.764,40
115,J.J. Henry,41.00,288.1,63.2,115,65.2,1.809,44.7
116,Kevin Kisner,32.00,287.9,61.1,116,58.6,1.781,45.5
117,Ryan Moore,33.00,287.6,65.8,117,66.4,1.742,52.7
118,Hunter Haas,39.00,287.6,61.8,117,61.2,1.779,42.4
119,Freddie Jacobson,41.00,287.4,58,119,61.9,1.792,39.4
120,Rory Sabbatini,40.00,287.4,61,119,62.2,1.77,49
121,Steve Wheatcroft,38.00,286.9,62.4,121,63.7,1.804,42.7
122,Ben Crane,40.00,286.8,64.4,122,64.8,1.74,54.6
123,Billy Mayfair,49.00,286.8,65.2,122,64,1.819,51.4
124,Robert Allenby,44.00,286.7,59.3,124,65.8,1.808,43
125,David Hearn,36.00,286.7,62.2,124,66.3,1.787,52.1
126,Chris Stroud,34.00,286.6,62.3,126,63.4,1.775,50.4
127,Jonas Blixt,32.00,286.3,58.9,127,61.9,1.718,65.4
128,Matt Kuchar,37.00,286.2,65.1,128,65.4,1.752,60.1
129,Vaughn Taylor,40.00,286,60.6,129,62.9,1.764,50
130,Dicky Pride,46.00,285.9,61.4,130,60.1,1.769,51.7
131,Marco Dawson,52.00,285.9,56,130,58.4,1.762,47.5
132,Russell Knox,30.00,285.8,67,132,67.3,1.789,50.6
133,Sung-hoon Kang,--,285.7,57.5,133,57.5,1.803,45
134,Charlie Wi,44.00,285.6,61.7,134,59.7,1.753,44.7
135,Richard H. Lee,29.00,285.6,68.7,134,66.3,1.771,43.2
136,Graeme McDowell,36.00,285.5,70.1,136,66.3,1.739,33.3
137,Matt Every,32.00,285.5,60.9,136,62.9,1.757,56.1
138,Steve Stricker,49.00,285.4,63.3,138,68.3,1.747,47.6
139,Tommy Biershenk,42.00,285.4,57.2,138,56.6,1.768,38.5
140,William McGirt,36.00,285.4,60.6,138,63.5,1.775,46.1
141,Jeff Maggert,52.00,285.3,67.2,141,65.7,1.784,41.7
142,Bob Estes,50.00,285.2,60.7,142,62.4,1.758,45.5
143,Cameron Beckman,46.00,285.2,61.7,142,65.3,1.797,50
144,Arjun Atwal,43.00,285.1,61.1,144,62.1,1.788,43.1
145,Ian Poulter,40.00,285,65.1,145,61.6,1.765,56.1
146,Y.E. Yang,44.00,284.9,61.1,146,58.5,1.749,50.8
147,Alexandre Rocha,38.00,284.6,63.5,147,64.6,1.826,29.7
148,Ted Potter Jr.,32.00,284.5,64.2,148,60,1.793,41.8
149,Kris Blanks,43.00,284.5,65.8,148,64.8,1.813,46.4
150,Michael Bradley,49.00,284.5,51.9,148,61.2,1.807,47
151,Kyle Thompson,37.00,284.2,62.7,151,62.1,1.841,42.1
152,D.A. Points,39.00,284,64.7,152,66.5,1.791,45.5
153,Johnson Wagner,36.00,284,62.3,152,65.9,1.787,39.4
154,Nathan Green,41.00,283.8,59,154,63,1.787,50.9
155,Spencer Levin,31.00,283.7,57.3,155,61,1.755,50
156,Stephen Ames,52.00,283.7,61.9,155,59.9,1.82,46.9
157,Brendon Todd,30.00,283.6,58.8,157,56.8,1.792,46.5
158,Michael Thompson,31.00,283.4,59.4,158,63.3,1.774,53.4
159,Stuart Appleby,45.00,283.3,65.5,159,64.8,1.781,54.3
160,Ken Duke,47.00,282.6,65.7,160,62.1,1.748,45.9
161,Chez Reavie,34.00,282.5,68.6,161,66.1,1.817,46.9
162,K.J. Choi,46.00,282.3,64.1,162,63.6,1.785,48.7
163,Greg Chalmers,42.00,282,62,163,59.8,1.733,65.2
164,Gary Christian,44.00,281.9,68.9,164,65.5,1.787,38
165,Kevin Na,32.00,281.5,65.9,165,61.3,1.753,54
166,John Mallinger,36.00,281.4,67.9,166,66.5,1.791,43.6
167,Scott Dunlap,52.00,281.4,64.7,166,64.7,1.835,46.4
168,Zach Johnson,40.00,281.1,68.5,168,65,1.726,57.2
169,Rocco Mediate,53.00,280.7,62.2,169,61,1.786,56.7
170,Luke Donald,38.00,280.1,65.2,170,65,1.745,56.5
171,Jim Furyk,46.00,280,70.7,171,68.2,1.774,65.2
172,Justin Leonard,43.00,279.4,60.3,172,60.4,1.789,44.6
173,Patrick Sheehan,46.00,279.3,60.1,173,58.4,1.806,44.4
174,Jason Bohn,43.00,279.2,65,174,62.9,1.787,50.3
175,Heath Slocum,42.00,278.9,71.7,175,64.8,1.807,43.3
176,David Mathis,42.00,278.1,63.2,176,58,1.767,42.6
177,Brian Gay,44.00,277.7,62.1,177,62.7,1.76,62.3
178,Bryce Molder,37.00,277.5,61.6,178,64.9,1.772,48.3
179,Brian Davis,41.00,277.1,67.2,179,60.7,1.746,51.7
180,Tim Clark,40.00,276.7,71.6,180,63.2,1.79,54.3
181,Ryuji Imada,39.00,276.4,56.1,181,60.6,1.778,52.6
182,Jerry Kelly,49.00,276.1,73,182,62.5,1.782,53
183,Mark Wilson,41.00,276,68.6,183,64,1.8,52.6
184,David Toms,49.00,275.5,69.8,184,66.1,1.78,59.2
185,Billy Hurley III,33.00,275.3,60.6,185,56,1.79,54.2
186,Ben Curtis,39.00,274.8,69.7,186,64.4,1.762,38.4
187,Tom Pernice Jr,56.00,273.9,61.3,187,61.7,1.801,46.7
188,Chris DiMarco,47.00,273,69.2,188,59.1,1.768,60.1
189,Colt Knost,30.00,272.5,68,189,62.1,1.786,47.3
190,Gavin Coles,47.00,271.2,65.1,190,60.6,1.769,54.3
191,Nick O'Hern,44.00,268.9,63.3,191,63.3,1.797,52.8
