PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
Vijay Singh,112.19,116.92,108.42
Hunter Mahan,112.11,115.06,108.4
Chesson Hadley,112.04,115.49,108.88
Cameron Percy,112.04,115.8,109.1
Blayne Barber,112,115.59,108.71
Derek Fathauer,111.96,115.92,108.08
Steve Wheatcroft,111.96,116.43,107.75
Kyle Reifers,111.94,116.46,108.54
Scott Brown,111.87,117.65,108.14
Fabian Gomez,111.86,117.32,107.38
Jonathan Byrd,111.84,114.18,108.91
Ian Poulter,111.8,115.21,107
Carl Pettersson,111.76,115.92,108.08
Whee Kim,111.74,117.3,107.37
Jim Renner,111.62,113.89,108.15
Rory Sabbatini,111.62,116.05,108.36
Webb Simpson,111.6,114.18,107.64
William McGirt,111.54,115.31,107.61
Nick Taylor,111.51,114.44,107.75
S.J. Park,111.47,114.26,107.91
Jonas Blixt,111.36,113.95,108.34
Andrew Putnam,111.35,116.68,108.08
Mark Hubbard,111.16,114.7,107.79
Kevin Kisner,111.11,114.57,107.73
Luke Guthrie,111,115.3,107.82
D.A. Points,111,115.06,105.66
Oscar Fraustro,110.83,115.88,107.79
Spencer Levin,110.77,116.59,106.78
Brice Garnett,110.7,117.87,104.92
Chris Kirk,110.67,114.97,107.04
Brandt Snedeker,110.67,116.61,107.54
Ernie Els,110.54,113.85,106.93
Matt Kuchar,110.53,116.14,106.56
Francesco Molinari,110.49,114.13,107.22
Daniel Summerhays,110.42,116.34,106.36
David Lingmerth,110.38,113.82,107.05
Brian Harman,110.24,112.54,106.43
Russell Knox,110.22,114.09,106.7
Ken Duke,110.2,117.01,106.55
Chad Campbell,110.19,115.44,106.11
Nicholas Thompson,110.15,113.61,106.76
Jeff Overton,110.11,116.49,106.42
Greg Chalmers,110.02,113.72,104.32
Scott Langley,110.02,114.36,106.12
Robert Allenby,109.97,114.32,105.72
Roberto Castro,109.8,112.84,106.01
Bill Lunde,109.68,116.56,106.93
Luke Donald,109.64,113.9,106.64
Chad Collins,109.6,113.14,106.02
Danny Lee,109.56,116.54,105.84
John Merrick,109.44,112.5,106.56
Chez Reavie,109.32,114.13,106.27
Jim Furyk,109.28,113.91,105.46
Chris Stroud,109.22,115.38,105.57
John Huh,109.06,113.49,105.08
Ryan Moore,108.89,117.77,105.67
Zac Blair,108.72,112.65,103.18
Cameron Tringale,108.67,112.38,104.89
Bryce Molder,108.64,114.12,105.05
Alex Cejka,108.52,119.64,105.04
Jason Bohn,108.49,114.36,105.25
Billy Hurley III,108.47,112.57,105.44
David Hearn,107.95,114.35,103.94
Zach Johnson,107.74,111.24,103.79
Tim Wilkinson,107.69,112.11,104.09
Mark Wilson,107.25,115.62,103.34
Colt Knost,107.19,110.56,103.82
K.J. Choi,107.02,111.72,103.26
Jerry Kelly,106.85,110.41,103.24
Brendon Todd,106.8,109.89,103.13
Brian Stuard,106.31,109.93,103.68
Jon Curran,106.17,109.16,102.77
Steven Alker,106.13,110.66,102.12
Brian Davis,105.49,117.37,101.32
Ben Crane,104.59,107.81,101.69
Justin Leonard,104.11,108.33,100.89
Heath Slocum,103.6,106.63,98.88
David Toms,101.87,105.65,99.13
