RK,PLAYER,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
125,Chez Reavie,285.9,68.9,125,67.5,1.774,50.9
126,Kevin Kisner,285.9,68,125,67,1.713,54.4
127,Jamie Donaldson,285.6,49.7,127,61.8,1.781,53.7
128,Chad Campbell,285.6,65.9,127,67.9,1.788,53.4
129,Meen Whee Kim,285.4,64.4,129,65.2,1.814,41
130,Blayne Barber,285.3,63.9,130,64.2,1.782,47.1
131,George McNeill,285.2,59.1,131,59.2,1.756,48.8
132,Russell Knox,285.2,69.9,131,72,1.789,52.8
133,J.J. Henry,284.9,59,133,68.1,1.832,45.9
134,Danny Lee,284.7,67.6,134,65.7,1.767,62.7
135,Henrik Norlander,284.7,60.9,134,67.5,1.782,47.5
136,Jeff Overton,284.6,58.9,136,63.7,1.796,44
137,Chris Stroud,284.5,60,137,65.4,1.773,40.2
138,Matt Every,284.5,55.6,137,62.2,1.797,38.8
139,Andy Sullivan,284.5,65.5,137,63.2,1.806,46.2
140,Cameron Smith,284.5,60.2,137,62.1,1.77,54.7
141,Chris Kirk,284.4,61.2,141,65.1,1.781,59.2
142,William McGirt,284.3,66.4,142,67.6,1.755,49.6
143,Scott Langley,284.1,63.9,143,64.4,1.808,49.4
144,Kelly Kraft,284,56.9,144,67.9,1.774,47
145,David Lingmerth,283.9,68.2,145,63.3,1.755,43.2
146,Will MacKenzie,283.8,64.2,146,67.2,1.783,49.4
147,John Huh,283.7,66.9,147,66,1.77,55.8
148,Bill Haas,283.7,65.3,147,67.6,1.807,46.8
149,Steve Wheatcroft,283.7,57.9,147,60.2,1.764,45.2
150,Erik Compton,283.6,54.2,150,59.4,1.767,47.7
151,Tyler Aldridge,283.4,56.9,151,66.1,1.783,54.9
152,Cameron Tringale,283.1,60,152,65.8,1.754,50
153,Carl Pettersson,283,47.9,153,57.7,1.768,44.3
154,Ian Poulter,283,62.9,153,60.7,1.807,54.3
155,Matt Kuchar,282.9,66,155,67.5,1.738,50.6
156,Vaughn Taylor,282.7,63.5,156,64.5,1.737,47.7
157,Michael Kim,282.3,58.3,157,62.4,1.76,56.3
158,Ryan Moore,281.7,66.9,158,65.8,1.726,46.4
159,Luke Donald,281.3,54.2,159,65.7,1.781,55.7
160,Roberto Castro,281.1,68.4,160,69.3,1.766,49.5
161,Zach Johnson,281,64.6,161,65.9,1.752,50.6
162,D.A. Points,280.9,59.8,162,64.2,1.784,48.4
163,Alex Cejka,280.6,65.2,163,68,1.744,55.6
164,Graeme McDowell,280.6,69.7,163,65.4,1.755,41.8
165,Spencer Levin,280.4,66.9,165,67.4,1.75,44.8
166,David Hearn,280.2,66.6,166,68,1.76,53.1
167,Freddie Jacobson,280,58.7,167,64.6,1.73,57
168,Rob Oppenheim,280,53.6,167,64.8,1.778,40.3
169,Bryce Molder,279.7,64.6,169,62.7,1.734,61.5
170,Mark Hubbard,279.6,66.7,170,64.6,1.776,52.7
171,Peter Malnati,279.2,59.6,171,62.1,1.759,52.9
172,Justin Hicks,278.9,71.6,172,67.6,1.803,44.9
173,Brice Garnett,278.9,66.7,172,67.7,1.772,35.9
174,Stuart Appleby,278.7,59.8,174,61.2,1.755,56.5
175,Chad Collins,278.6,59.1,175,61.4,1.785,50.5
176,Jason Bohn,278.4,69.1,176,67.1,1.719,44.3
177,Ben Crane,278.4,64.1,176,62.4,1.741,55.1
178,Brendon Todd,278.4,58.7,176,54.5,1.775,59.6
179,Tim Herron,278.3,64,179,63.2,1.815,56
180,Kevin Na,278.3,65.2,179,66.4,1.737,51
181,Robert Allenby,278.2,55.6,181,62.9,1.862,61.1
182,D.H. Lee,277.3,58,182,58.1,1.762,40.9
183,Ken Duke,277.3,67.1,182,59.3,1.804,42.9
184,Tim Wilkinson,276.8,64.2,184,65.7,1.736,56.6
185,Shane Bertsch,275.9,65.2,185,65.9,1.781,50
186,Steve Stricker,275.9,60.8,185,61.1,1.715,46.9
187,Zac Blair,275.5,69.5,187,62,1.783,52.1
188,Jerry Kelly,275.1,72.2,188,64.5,1.791,54.3
189,Dicky Pride,274.7,66.5,189,58.6,1.78,58.5
190,K.J. Choi,274.3,65.4,190,65.1,1.774,62.5
191,Brian Stuard,273,69.4,191,64.1,1.76,48.1
192,Abraham Ancer,272.1,66.1,192,59.6,1.755,42.9
193,Justin Leonard,271.5,72.2,193,59.7,1.757,56.1
194,Colt Knost,271.1,73.9,194,67.2,1.763,52
195,Billy Hurley III,271.1,69.3,194,62.8,1.759,43.9
196,Mark Wilson,270.8,65,196,64.9,1.802,58.6
197,Jon Curran,269.4,64,197,63.1,1.748,58.9
198,David Toms,268.8,67.5,198,66.3,1.792,66.7
199,Darron Stiles,262.6,71.6,199,61.1,1.785,34.6
